               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,             0.02225,            0.019889,           0.0033391,             0.97765,             0.97116,             0.98318,             0.75975,            0.014122,             0.01434,           0.0019431,           0.0065598,           0.0065598,           0.0065598
                 141,            0.022181,            0.020039,           0.0044153,             0.96874,              0.9823,              0.9834,             0.76439,            0.013955,            0.014265,           0.0019596,            0.006535,            0.006535,            0.006535
                 142,            0.021943,            0.019922,           0.0062262,              0.9734,             0.98199,             0.98461,             0.76501,            0.014007,            0.014289,             0.00199,           0.0065102,           0.0065102,           0.0065102
                 143,            0.021789,            0.018889,           0.0046205,              0.9736,             0.97626,             0.98521,             0.76318,            0.014527,            0.014259,           0.0019781,           0.0064855,           0.0064855,           0.0064855
                 144,            0.025902,            0.019425,           0.0053427,             0.96621,             0.97929,             0.98723,             0.76498,            0.014559,            0.014357,           0.0020016,           0.0064608,           0.0064608,           0.0064608
                 145,            0.022773,            0.019493,           0.0058633,             0.97981,             0.97713,             0.98752,             0.76046,            0.015226,            0.014126,           0.0020278,            0.006436,            0.006436,            0.006436
                 146,            0.023253,            0.019088,           0.0032378,             0.96816,             0.98408,             0.98717,             0.76939,            0.014486,            0.014229,           0.0020581,           0.0064112,           0.0064112,           0.0064112
                 147,             0.02264,            0.019185,           0.0042104,             0.97728,             0.97454,             0.98462,             0.76599,            0.013798,            0.014227,           0.0019273,           0.0063865,           0.0063865,           0.0063865
                 148,            0.021528,             0.01965,           0.0046682,             0.97876,             0.97726,             0.98446,             0.77305,            0.014724,            0.014144,           0.0018755,           0.0063618,           0.0063618,           0.0063618
                 149,            0.021384,            0.019579,           0.0044128,             0.96715,             0.98094,             0.98402,             0.77147,            0.014065,            0.014167,           0.0019299,            0.006337,            0.006337,            0.006337
                 150,            0.021049,            0.020311,           0.0054249,             0.97481,             0.97964,             0.98754,             0.77307,            0.014195,             0.01435,           0.0019186,           0.0063122,           0.0063122,           0.0063122
                 151,            0.022115,            0.019826,           0.0049847,             0.97953,              0.9731,              0.9862,             0.77306,            0.013519,            0.014061,           0.0019366,           0.0062875,           0.0062875,           0.0062875
                 152,            0.022178,            0.018878,           0.0046152,              0.9692,             0.98118,             0.98774,             0.76724,            0.015101,            0.014243,           0.0018614,           0.0062628,           0.0062628,           0.0062628
